sequence,Y,M,N,NS,sum_answers,link1 + link2,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
sum_links,,,,,,,47,56,38,24,21,22,19,17,10,4
M,7,8,4,0,19,1,10,4,3,3,3,3,3,6,3,0
M_NORM,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.0,,,0,0,0,0,0,0,0,0,0,0
N,0,8,7,1,16,3,7,5,2,6,4,3,2,2,1,0
N_NORM,0.0,0.5,0.4375,0.0625,,,0,0,0,0,0,0,0,0,0,0
AM,5,6,8,0,19,1,2,13,8,2,1,1,4,1,1,2
AM_NORM,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.0,,,0,0,0,0,0,0,0,0,0,0
SN,3,3,8,2,16,0,2,8,6,3,4,2,0,1,0,1
SN_NORM,0.1875,0.1875,0.5,0.125,,,0,0,0,0,0,0,0,0,0,0
Y,12,3,5,0,20,4,13,8,4,2,2,5,3,3,2,0
Y_NORM,0.6,0.15,0.25,0.0,,,0,0,0,0,0,0,0,0,0,0
SM,7,4,5,0,16,5,9,10,7,3,4,5,3,2,1,1
SM_NORM,0.4375,0.25,0.3125,0.0,,,0,0,0,0,0,0,0,0,0,0
AN,6,4,7,0,17,1,4,8,8,5,3,3,4,2,2,0
AN_NORM,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.0,,,0,0,0,0,0,0,0,0,0,0
link_visibility,,,,,,,123,123,123,123,123,123,123,123,123,68
link_visibility_no_ads,,,,,,,55,55,55,55,55,55,55,55,55,0
link_visibility_A,,,,,,,36,36,36,36,36,36,36,36,36,36
link_visibility_AM,,,,,,,19,19,19,19,19,19,19,19,19,19
link_visibility_AN,,,,,,,17,17,17,17,17,17,17,17,17,17
link_visibility_S,,,,,,,32,32,32,32,32,32,32,32,32,32
link_visibility_SM,,,,,,,16,16,16,16,16,16,16,16,16,16
link_visibility_SN,,,,,,,16,16,16,16,16,16,16,16,16,16
